,ttext,date,isretweet,retweetcount,favoritecount,score,product,state,country,duplicate,airline_sentiment
90,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,25/07/18 5:37,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
91,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,25/07/18 5:37,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
92,RT @haaskids: @Iyervval @learning_pt @sunil_abraham @saikatd @samirsaran This sure is scary! Andhra Pradesh merely did a better job at digi,25/07/18 5:31,TRUE,4,0,0,Employment,Andhra Pradesh,India,TRUE,neutral
93,RT @haaskids: @Iyervval @learning_pt @sunil_abraham @saikatd @samirsaran This sure is scary! Andhra Pradesh merely did a better job at digi,25/07/18 5:16,TRUE,4,0,0,Employment,Andhra Pradesh,India,TRUE,neutral
94,RT @haaskids: @Iyervval @learning_pt @sunil_abraham @saikatd @samirsaran This sure is scary! Andhra Pradesh merely did a better job at digi,25/07/18 5:10,TRUE,4,0,0,Employment,Andhra Pradesh,India,TRUE,neutral
95,@Iyervval @learning_pt @sunil_abraham @saikatd @samirsaran This sure is scary! Andhra Pradesh merely did a better j  ,25/07/18 4:56,FALSE,4,4,0,Employment,Andhra Pradesh,India,FALSE,neutral
96,"Apply for the position of -Young Professional - Rythu Sadhikara Samstha (RySS), Govt. of Andhra Pradesh -to help in  ",25/07/18 4:56,FALSE,1,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
97,RT @srinivav: @haaskids @WordsSlay @ANI @ncbn Every month there is a boat accident in andhra killing common man.  ,24/07/18 23:06,TRUE,4,0,-1,Employment,Andhra Pradesh,India,FALSE,negative
98,RT @srinivav: @haaskids @WordsSlay @ANI @ncbn Every month there is a boat accident in andhra killing common man.  ,24/07/18 20:12,TRUE,4,0,-1,Employment,Andhra Pradesh,India,TRUE,negative
99,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,24/07/18 17:24,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
100,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,24/07/18 16:52,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
101,@haaskids @WordsSlay @ANI @ncbn Every month there is a boat accident in andhra killing common man.  ,24/07/18 15:25,FALSE,4,54,-1,Employment,Andhra Pradesh,India,FALSE,negative
102,@KPadmaRani1 @tv5telugu @INC_Andhra @Pallamrajumm @Oommen_Chandy Traitor Jairam Ramesh who was sent to RS from AP d  ,24/07/18 12:41,FALSE,0,0,-1,Employment,Andhra Pradesh,India,FALSE,negative
103,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,24/07/18 12:06,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
104,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,24/07/18 11:46,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
105,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,24/07/18 8:53,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
106,"Officer - Quality- ERW Plant - Anantpur: GenNext Human Resource Management - Anantapur, Andhra Pradesh - Should hav  ",24/07/18 8:10,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
